69 146 21
34 61 64
96 65 48
63 38 32
91 46 5
14 45 4
9 50 45
25 63 57
32 54 58
6 41 58
34 66 38
12 94 67
49 11 66
27 43 49
5 53 41
35 18 88
72 112 93
63 24 61
20 40 15
99 39 35
18 36 43
74 0 92
46 52 53
44 42 52
25 60 17
7 56 24
78 115 96
13 47 40
44 46 97
78 48 44
92 33 57
76 37 33
8 62 3
30 31 39
1 65 10
15 19 37
20 37 89
31 36 35
10 67 3
19 56 33
18 27 81
9 14 101
23 55 93
13 20 95
28 29 23
5 6 87
4 28 22
27 59 104
29 2 64
12 13 83
6 54 102
55 64 61
22 23 68
14 22 90
50 8 67
51 60 42
98 25 39
7 62 30
100 8 9
47 66 65
24 72 55
51 1 17
32 74 57
7 17 3
1 51 48
34 2 59
10 59 12
38 11 54
52 70 113
109 147 0
93 142 68
106 143 112
16 60 98
90 127 101
21 62 100
92 146 76
31 75 111
83 108 94
29 105 26
104 148 81
99 88 133
40 79 114
89 130 95
49 110 77
102 144 87
91 129 97
110 145 108
45 84 107
114 80 15
111 82 36
113 73 53
107 85 4
75 30 21
70 42 16
77 102 11
82 110 43
26 104 2
28 85 105
106 72 56
80 106 19
109 74 58
73 109 41
94 84 50
105 149 115
96 79 47
103 78 97
71 98 99
138 91 87
77 86 144
69 100 101
95 86 83
136 89 76
71 142 16
134 90 68
140 88 81
26 103 148
160 145 161
138 144 160
149 163 162
126 143 164
133 140 151
162 140 148
134 142 126
150 147 158
136 146 150
129 138 141
119 165 122
132 147 73
155 161 152
125 149 85
131 145 82
130 136 153
127 134 156
120 143 80
132 113 122
157 165 164
131 111 124
158 157 159
125 107 117
154 163 152
120 114 121
125 155 163
122 70 112
71 133 119
117 84 108
86 130 116
124 75 0
69 127 123
121 79 115
118 103 129
123 159 124
154 164 120
157 139 128
159 161 131
151 162 139
141 160 128
158 132 165
137 135 152
123 156 137
150 137 153
155 117 116
128 116 153
154 121 118
139 118 141
119 151 135
126 135 156
