20 10 1
10 20 30
20 10 30
10 10 30
20 3 30
10 3 2
10 3 30
3 20 30
20 10 2
3 20 2
20 3 30
3 10 2
10 3 2
3 20 2
20 10 1
3 20 30
10 10 30
20 10 30
3 3 30
20 20 30
10 20 2
10 3 30
3 10 1
20 3 1
3 3 2
10 10 2
20 10 2
10 3 30
3 20 30
3 10 2
20 3 2
10 3 30
3 3 30
3 10 2
3 10 30
10 10 1
20 20 30
20 3 1
20 20 30
20 10 30
20 20 30
3 20 2
20 10 1
20 3 30
20 10 1
20 10 1
3 10 1
10 20 30
20 3 30
20 10 1
20 20 30
3 20 2
20 10 30
10 10 30
20 20 2
10 10 1
10 3 2
10 10 30
20 3 2
20 10 30
10 10 30
20 3 1
20 20 2
10 20 1
10 10 30
20 10 30
20 20 1
20 3 1
20 20 30
10 10 30
3 20 1
10 10 2
20 3 30
10 10 30
20 20 1
20 10 1
3 3 2
10 10 1
3 20 30
3 10 30
20 20 1
3 3 30
20 10 1
10 20 30
3 3 1
3 3 1
3 10 2
20 10 30
3 20 2
20 20 2
3 3 2
20 10 2
3 20 30
20 10 30
10 10 30
3 20 2
20 3 2
20 10 2
20 10 1
10 3 30
10 10 30
20 20 30
20 10 30
3 10 2
3 10 1
10 20 1
20 20 30
20 20 2
20 20 30
20 10 1
10 20 30
10 10 30
10 3 2
10 10 1
10 10 30
3 10 1
10 3 1
10 10 1
10 20 30
3 10 30
20 20 1
10 20 2
3 10 30
20 10 2
3 10 2
20 20 30
20 10 2
10 3 30
10 20 1
3 10 2
10 10 30
10 20 2
3 10 1
10 20 30
20 20 1
3 3 30
3 3 1
3 10 30
10 3 30
20 3 1
10 10 1
3 20 30
20 3 30
20 20 30
20 3 30
20 10 30
20 20 30
20 20 30
20 3 30
20 20 30
3 10 1
3 10 1
3 10 30
10 10 1
20 10 1
20 20 30
20 3 2
20 20 30
