249
0 21 3 2
0 69 1 3
0 146 2 3
1 34 1 10
1 61 2 20
1 64 3 1
2 48 3 2
2 65 2 20
2 96 1 3
3 32 3 30
3 38 2 3
3 63 1 3
4 5 3 30
4 46 2 10
4 91 1 3
5 14 1 10
5 45 2 10
6 9 1 10
6 45 3 2
6 50 2 10
7 25 1 10
7 57 3 1
7 63 2 10
8 32 1 10
8 54 2 20
8 58 3 2
9 41 2 10
9 58 3 30
10 34 1 3
10 38 3 1
10 66 2 10
11 12 1 20
11 67 3 2
11 94 2 3
12 49 1 10
12 66 3 30
13 27 1 10
13 43 2 10
13 49 3 2
14 41 3 2
14 53 2 10
15 18 2 3
15 35 1 10
15 88 3 30
16 72 1 10
16 93 3 30
16 112 2 3
17 24 2 3
17 61 3 30
17 63 1 20
18 20 1 10
18 40 2 10
19 35 3 2
19 39 2 10
19 99 1 3
20 36 2 10
20 43 3 2
21 74 1 10
21 92 3 30
22 46 1 3
22 52 2 10
22 53 3 2
23 42 2 10
23 44 1 3
23 52 3 2
24 25 1 3
24 60 2 10
25 56 2 20
26 78 1 3
26 96 3 1
26 115 2 10
27 40 3 2
27 47 2 10
28 44 1 10
28 46 2 20
28 97 3 1
29 44 3 2
29 48 2 10
29 78 1 10
30 33 2 10
30 57 3 30
30 92 1 20
31 33 3 2
31 37 2 10
31 76 1 10
32 62 2 10
33 39 3 30
34 65 2 10
35 37 3 30
36 37 2 20
36 89 3 30
38 67 2 10
39 56 2 3
40 81 3 1
41 101 3 30
42 55 2 3
42 93 3 2
43 95 3 30
45 87 3 1
47 59 2 10
47 104 3 30
48 64 3 30
49 83 3 1
50 54 2 10
50 102 3 30
51 55 1 10
51 61 3 1
51 64 2 20
52 68 3 1
53 90 3 30
54 67 3 30
55 60 2 3
56 98 1 3
57 62 2 3
58 100 1 3
59 65 3 30
59 66 2 20
60 72 2 20
62 74 2 20
68 70 2 3
68 113 3 30
69 109 1 10
69 147 2 10
70 93 1 10
70 142 2 20
71 106 1 10
71 112 3 1
71 143 2 10
72 98 3 2
73 90 1 20
73 101 3 1
73 127 2 3
74 100 3 2
75 76 3 2
75 92 1 10
75 146 2 20
76 111 3 30
77 83 1 3
77 94 3 1
77 108 2 10
78 105 2 20
79 81 3 2
79 104 1 20
79 148 2 20
80 88 2 20
80 99 1 10
80 133 3 30
81 114 3 30
82 89 1 20
82 95 3 1
82 130 2 3
83 110 2 3
84 87 3 2
84 102 1 20
84 144 2 20
85 91 1 20
85 97 3 2
85 129 2 3
86 108 3 2
86 110 1 20
86 145 2 10
87 107 3 30
88 114 1 20
89 111 1 20
90 113 1 20
91 107 1 20
94 102 2 10
95 110 2 10
96 104 2 10
97 105 3 30
98 106 1 20
99 106 2 3
100 109 1 20
101 109 2 3
103 105 1 10
103 115 3 2
103 149 2 20
107 138 1 20
108 144 3 30
111 136 1 20
112 142 2 3
113 134 1 20
114 140 1 20
115 148 3 30
116 145 2 3
116 160 1 3
116 161 3 2
117 138 1 3
117 144 2 10
117 160 3 2
118 149 1 10
118 162 3 30
118 163 2 20
119 126 1 10
119 143 2 3
119 164 3 1
120 133 1 10
120 140 2 10
120 151 3 30
121 140 2 3
121 148 3 1
121 162 1 20
122 126 3 30
122 134 1 3
122 142 2 10
123 147 2 3
123 150 1 10
123 158 3 1
124 136 1 3
124 146 2 10
124 150 3 30
125 129 1 10
125 138 2 10
125 141 3 1
126 165 2 10
127 132 1 10
127 147 2 20
128 152 3 30
128 155 1 3
128 161 2 10
129 149 2 3
130 131 1 10
130 145 2 20
131 136 2 10
131 153 3 30
132 134 2 10
132 156 3 2
133 143 2 20
135 157 1 20
135 164 3 30
135 165 2 20
137 157 2 10
137 158 1 3
137 159 3 2
139 152 3 2
139 154 1 3
139 163 2 10
141 155 2 10
141 163 3 30
150 159 2 10
151 154 1 10
151 164 2 20
152 157 1 3
153 159 1 3
153 161 2 3
154 162 2 10
155 160 2 10
156 158 1 20
156 165 3 30
